Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Source
SwiftData,Delete Orphan Guard,Count affected references before deleting entities,"Count refs, show confirmation alert with count, define fallback",Silently delete entities referenced by other models,"let count = items.filter { $0.category == cat }.count; if count > 0 { showAlert(count) }","modelContext.delete(category) // no ref check",critical,learned-PR
SwiftData,Delete+Dismiss Pattern,Dismiss view BEFORE deleting SwiftData model,"dismiss() first, capture context+object, delete in Task @MainActor",Delete then dismiss — view renders tombstoned @Bindable → crash,"dismiss(); Task { @MainActor in context.delete(captured) }","modelContext.delete(item); dismiss() // crash",critical,learned-PR
SwiftData,Predicate Enum Restriction,#Predicate only works with primitive types,"Use Date/Decimal/Int/String in #Predicate, filter enum in-memory","Use enum .rawValue in #Predicate — compiles but crashes at runtime","@Query(filter: #Predicate<T> { $0.isActive == true })","@Query(filter: #Predicate<T> { $0.type.rawValue == ""expense"" }) // crash",critical,learned-PR
SwiftData,Decimal in Predicate,SwiftData stores Decimal as TEXT in SQLite,Keep Decimal comparisons as in-memory .filter{},Use Decimal values in #Predicate for comparisons,"items.filter { $0.balance < 0 }","@Query(filter: #Predicate<T> { $0.balance < 0 }) // string compare",critical,learned-PR
Locale,Decimal(string:) Locale,Bare Decimal(string:) returns nil on non-US locales,"Decimal(string: text, locale: Locale(identifier: ""en_US_POSIX""))","Decimal(string: text) without locale","Decimal(string: input, locale: Locale(identifier: ""en_US_POSIX""))","Decimal(string: input) // nil on EU locales",critical,learned-PR
Decimal,NSDecimalNumber.intValue,Returns 0 for repeating decimals (Foundation bug),"Int(NSDecimalNumber(decimal: val).doubleValue)","NSDecimalNumber(...).intValue","Int(NSDecimalNumber(decimal: result).doubleValue)","NSDecimalNumber(decimal: result).intValue // returns 0",critical,learned-PR
Xcode,pbxproj Registration,New .swift files must be registered in Xcode project,"Add PBXBuildFile + PBXFileReference + Group + Sources phase",Assume Xcode auto-discovers CLI-created files,"// Add to project.pbxproj: PBXBuildFile, PBXFileReference, group, Sources","// Just create file and hope Xcode finds it",high,learned-PR
Notification,Remove-then-Reschedule,Notifications: remove stale inside callback then add new,"getPendingNotificationRequests { remove stale → add new INSIDE }","Remove outside + add outside (race condition)","center.getPendingNotificationRequests { reqs in let stale = reqs.filter {...}; center.removePending(stale); addNew() }","center.removePending(ids); center.add(new) // race",high,learned-PR
State,onChange array.count,.count only catches insert/delete not property mutations,"onChange(of: items.map { ""\($0.id)\($0.prop)"" })","onChange(of: items.count) for property changes","onChange(of: items.map { ""\($0.id)\($0.amount)"" }) { refresh() }",".onChange(of: items.count) // misses edits",high,learned-PR
Simulator,Query Before Build,Always check available simulators before xcodebuild,xcrun simctl list devices available | grep -i iphone,Hardcode simulator name (may not exist on machine),"xcrun simctl list devices available | grep -i iphone | head -1","xcodebuild -destination 'name=iPhone 16' // may not exist",medium,learned-PR
Analysis,N-Month Bucketing,Use startOfMonth(-N) to startOfCurrentMonth for historical data,Exclude partial current month from averages,Include Date() as end date — inflates averages,"fetch from: startOfMonth(-N) to: startOfCurrentMonth","fetch from: startOfMonth(-N) to: Date() // partial month",medium,learned-PR
Refactor,Sub-view Extract Pattern,Pass state as let values and mutations as closures,"let + () -> Void closures, mutations stay in parent","Pass viewModel/EnvironmentObject to sub-views","struct SubView: View { let amount: Decimal; let onTap: () -> Void }","struct SubView: View { @ObservedObject var vm: ViewModel } // tight coupling",high,learned-PR
Refactor,Private to Internal,Private members must widen to internal when splitting across files,"Use internal (default) for cross-file access","Keep private on members used across files in same target","func helper() { ... } // internal by default","private func helper() { ... } // invisible from other file",high,learned-PR
Refactor,File Size Target,Keep views under 200 LOC where possible,"Split into parent orchestrator + sub-view files, target <200","Leave monolithic files >400 LOC","NetWorthView.swift (168 LOC) + 3 sub-view files","NetWorthView.swift (416 LOC) // all-in-one",medium,learned-PR
State,@State for Local,Use @State only for view-local transient state,"@State private var isExpanded = false","@State for shared or persistent data","@State private var showSheet = false","@State var transactions: [Transaction] // should be @Query",high,swiftui-best
State,@Binding for Child,Child views receive @Binding from parent @State,"@Binding var isOn: Bool in child","@Binding for data that doesn't come from parent @State","struct Toggle: View { @Binding var isOn: Bool }","struct Toggle: View { @State var isOn: Bool } // disconnected from parent",high,swiftui-best
State,@StateObject Owned,Use @StateObject for objects this view creates and owns,"@StateObject private var vm = ViewModel()","@StateObject for injected objects","@StateObject private var vm = ViewModel()","@ObservedObject var vm = ViewModel() // recreated on re-render",critical,swiftui-best
State,@Observable iOS 17+,Prefer @Observable macro over ObservableObject for iOS 17+,"@Observable class ViewModel { var count = 0 }","Mix ObservableObject and @Observable in same target","@Observable class VM { var items: [Item] = [] }","class VM: ObservableObject { @Published var items: [Item] = [] } // legacy",medium,swiftui-best
Navigation,NavigationStack,Use NavigationStack (iOS 16+) not deprecated NavigationView,"NavigationStack { ... .navigationDestination(for:) }","NavigationView (deprecated iOS 16+)","NavigationStack { List { NavigationLink(value: item) { ... } } }","NavigationView { NavigationLink(destination: DetailView()) { ... } }",high,swiftui-best
Layout,LazyVStack for Lists,Use LazyVStack/LazyHStack for 100+ items,"LazyVStack { ForEach(items) { ... } }","VStack for large collections (loads all at once)","ScrollView { LazyVStack { ForEach(largeList) { row in ... } } }","ScrollView { VStack { ForEach(largeList) { row in ... } } } // all loaded",high,swiftui-best
Layout,GeometryReader Sparingly,GeometryReader causes extra layout passes,Use only when you truly need parent dimensions,"GeometryReader for simple layouts, or nested","GeometryReader { geo in Image(...).frame(width: geo.size.width) }","GeometryReader { geo in Text(""Hello"").frame(width: geo.size.width) } // overkill",medium,swiftui-best
Modifiers,Order Matters,Modifier order affects visual output — background before padding differs,"Apply modifiers in logical visual order","Random modifier ordering","Text(""Hi"").padding().background(.blue) // blue includes padding","Text(""Hi"").background(.blue).padding() // blue only behind text",medium,swiftui-best
Async,Task for Lifecycle,Use .task modifier for lifecycle-aware async work,".task { await fetchData() } — auto-cancels on disappear",".onAppear { Task { await fetchData() } } — no auto-cancel","List { ... }.task { data = await api.fetch() }","List { ... }.onAppear { Task { data = await api.fetch() } } // no cancel",high,swiftui-best
Performance,Equatable Views,Add Equatable conformance to reduce unnecessary re-renders,"struct MyView: View, Equatable { ... }","Expensive computations in body without memoization","struct Row: View, Equatable { let item: Item; static func == ... }","struct Row: View { let item: Item } // re-renders on every parent change",medium,swiftui-best
Accessibility,Labels Required,All interactive elements need accessibility labels,".accessibilityLabel(""Delete item"")","Images/buttons without accessibility context","Button { delete() } label: { Image(systemName: ""trash"") }.accessibilityLabel(""Delete"")","Button { delete() } label: { Image(systemName: ""trash"") } // silent to VoiceOver",high,swiftui-best
Accessibility,Dynamic Type,Support Dynamic Type for all text,"Use system fonts or .font(.body), test with large text","Fixed font sizes that break on large Dynamic Type","Text(""Price"").font(.body)","Text(""Price"").font(.system(size: 14)) // breaks on large type",medium,swiftui-best
Testing,MVVM for Testability,Separate view logic into testable ViewModels,"ViewModel with updateTransactions()/refresh() injection","Business logic directly in View body","class VM { func refresh() { items = service.fetch() } } // testable","var body: some View { let items = fetchItems() ... } // untestable",high,swiftui-best
Preview,Add Preview Macros,All new views should have #Preview macros,"#Preview { MyView(item: .sample) }","Ship new views without preview macros","#Preview(""Empty State"") { MyView(items: []) }","// no preview — hard to iterate",medium,learned-PR
Category,AppCategory.find custom,Always pass custom categories when resolving categoryId,"AppCategory.find(id, custom: customCategories.map(\.asAppCategory))",AppCategory.find(id) without custom: parameter,"AppCategory.find(catId, custom: customs.map(\.asAppCategory))","AppCategory.find(catId) // falls back to wrong category",high,learned-PR
